,CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration,StartDate,CompleteDate,weight
61020,7953,W-Completeren aanvraag-START,10932.0,2012-02-08 17:07:49,6900,2012-02-08 17:16:58,10,2012-02-08,2012-02-08,3
61021,7953,W-Nabellen offertes-START,11181.0,2012-02-16 04:49:46,6900,2012-02-16 04:52:31,3,2012-02-16,2012-02-16,3
61022,7953,W-Nabellen offertes-START,11181.0,2012-02-16 04:52:37,6900,2012-02-16 04:54:34,2,2012-02-16,2012-02-16,3
61023,7953,W-Nabellen offertes-START,11181.0,2012-02-16 04:55:01,6900,2012-02-16 04:55:43,1,2012-02-16,2012-02-16,3
61024,7953,W-Nabellen offertes-START,11299.0,2012-02-22 21:33:04,6900,2012-02-22 21:38:07,6,2012-02-22,2012-02-22,3
61025,7953,W-Nabellen offertes-START,11121.0,2012-02-23 18:14:01,6900,2012-02-23 18:14:49,1,2012-02-23,2012-02-23,3
61026,7953,W-Nabellen offertes-START,11121.0,2012-02-23 18:15:06,6900,2012-02-23 18:18:40,4,2012-02-23,2012-02-23,3
61027,7953,W-Nabellen offertes-START,10899.0,2012-03-12 20:12:53,6900,2012-03-12 20:13:09,1,2012-03-12,2012-03-12,3
63376,8266,W-Completeren aanvraag-START,10912.0,2012-02-11 21:45:38,25000,2012-02-11 21:49:44,5,2012-02-11,2012-02-11,8
63377,8266,W-Completeren aanvraag-START,11169.0,2012-02-17 16:58:49,25000,2012-02-17 22:00:02,302,2012-02-17,2012-02-17,8
63378,8266,W-Completeren aanvraag-START,10228.0,2012-03-06 01:28:24,25000,2012-03-06 14:15:05,767,2012-03-06,2012-03-06,8
63379,8266,W-Completeren aanvraag-START,10863.0,2012-03-12 22:25:28,25000,2012-03-12 22:27:59,3,2012-03-12,2012-03-12,8
63416,8273,W-Completeren aanvraag-START,10909.0,2012-02-13 19:14:27,6000,2012-02-13 19:24:07,10,2012-02-13,2012-02-13,2
63417,8273,W-Nabellen offertes-START,10909.0,2012-02-13 19:24:35,6000,2012-02-13 19:26:17,2,2012-02-13,2012-02-13,2
63418,8273,W-Nabellen offertes-START,11299.0,2012-02-20 23:37:55,6000,2012-02-20 23:41:00,4,2012-02-20,2012-02-20,2
63419,8273,W-Nabellen offertes-START,11299.0,2012-02-20 23:50:37,6000,2012-02-20 23:50:54,1,2012-02-20,2012-02-20,2
63420,8273,W-Nabellen offertes-START,10912.0,2012-02-22 04:55:57,6000,2012-02-22 04:57:26,2,2012-02-22,2012-02-22,2
63421,8273,W-Nabellen offertes-START,11309.0,2012-02-23 23:48:44,6000,2012-02-23 23:54:05,6,2012-02-23,2012-02-23,2
63422,8273,W-Nabellen offertes-START,11119.0,2012-02-25 03:29:13,6000,2012-02-25 03:32:11,3,2012-02-25,2012-02-25,2
63423,8273,W-Nabellen offertes-START,10899.0,2012-03-07 18:18:31,6000,2012-03-07 18:18:46,1,2012-03-07,2012-03-07,2
63424,8273,W-Valideren aanvraag-START,10609.0,2012-03-12 20:27:54,6000,2012-03-12 21:11:02,44,2012-03-12,2012-03-12,2
63523,8288,W-Completeren aanvraag-START,11000.0,2012-02-13 22:19:08,8500,2012-02-13 22:25:52,7,2012-02-13,2012-02-13,4
63524,8288,W-Completeren aanvraag-START,11003.0,2012-02-14 19:10:50,8500,2012-02-14 19:16:14,6,2012-02-14,2012-02-14,4
63525,8288,W-Nabellen offertes-START,11309.0,2012-02-22 02:23:36,8500,2012-02-22 02:30:41,8,2012-02-22,2012-02-22,4
63526,8288,W-Nabellen offertes-START,11203.0,2012-02-23 20:22:07,8500,2012-02-23 20:23:18,2,2012-02-23,2012-02-23,4
63527,8288,W-Nabellen offertes-START,10933.0,2012-02-24 04:51:55,8500,2012-02-24 04:52:48,1,2012-02-24,2012-02-24,4
63528,8288,W-Nabellen offertes-START,11302.0,2012-02-24 22:58:57,8500,2012-02-24 23:01:28,3,2012-02-24,2012-02-24,4
63529,8288,W-Nabellen offertes-START,10913.0,2012-02-29 00:02:12,8500,2012-02-29 00:05:14,4,2012-02-29,2012-02-29,4
63530,8288,W-Nabellen offertes-START,10909.0,2012-03-03 20:45:55,8500,2012-03-03 20:53:12,8,2012-03-03,2012-03-03,4
